Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Graphite,IND,ZAF,India,South Africa,380110,Processed,203599.512,direct,20.593684,78.96288,-30.559482,22.937506
Graphite,IND,BRA,India,Brazil,380110,Processed,172233.706,direct,20.593684,78.96288,-14.235004,-51.92528
Graphite,IND,IDN,India,Indonesia,380110,Processed,151561.114,direct,20.593684,78.96288,-0.789275,113.921327
Graphite,IND,TUN,India,Tunisia,380120,Processed,140646.828,mirror,20.593684,78.96288,33.886917,9.537499
Graphite,IND,THA,India,Thailand,380110|380120,Processed,137098.69,direct,20.593684,78.96288,15.870032,100.992541
Graphite,IND,BHR,India,Bahrain,380110|380120,Processed,115252.72400000002,direct,20.593684,78.96288,26.0275,50.55
Graphite,IND,NLD,India,Netherlands,380110|380120,Processed,108053.344,direct,20.593684,78.96288,52.132633,5.291266
Graphite,IND,UGA,India,Uganda,380110,Processed,106084.556,direct,20.593684,78.96288,1.373333,32.290275
Graphite,IND,NGA,India,Nigeria,380110|380120,Processed,79082.23199999999,direct,20.593684,78.96288,9.081999,8.675277
Graphite,IND,DZA,India,Algeria,380110,Processed,72554.894,direct,20.593684,78.96288,28.033886,1.659626
Graphite,IND,FRA,India,France,380110,Processed,64366.58,direct,20.593684,78.96288,46.227638,2.213749
Graphite,IND,IRQ,India,Iraq,380110,Processed,62253.204,direct,20.593684,78.96288,33.223191,43.679291
Graphite,IND,BGD,India,Bangladesh,380110,Processed,55144.924,direct,20.593684,78.96288,23.684994,90.356331
Graphite,IND,LKA,India,Sri Lanka,380110,Processed,45651.058,direct,20.593684,78.96288,7.873054,80.771797
Graphite,IND,SGP,India,Singapore,380110,Processed,44149.638,direct,20.593684,78.96288,1.352083,103.819836
Graphite,IND,CAN,India,Canada,380110,Processed,42761.838,direct,20.593684,78.96288,56.130366,-106.346771
Graphite,IND,AUS,India,Australia,380110|380120,Processed,42058.702000000005,direct,20.593684,78.96288,-25.274398,133.775136
Graphite,IND,SRB,India,Serbia,380110,Processed,41082.248,direct,20.593684,78.96288,44.016521,21.005859
Graphite,IND,VNM,India,Viet Nam,380110,Processed,38841.132,direct,20.593684,78.96288,14.058324,108.277199
Graphite,IND,BLR,India,Belarus,380110,Processed,38159.116,direct,20.593684,78.96288,53.709807,27.953389
Graphite,IND,KEN,India,Kenya,380110|380120,Processed,36126.976,direct,20.593684,78.96288,-0.023559,37.906193
Graphite,IND,GBR,India,United Kingdom,380110|380120,Processed,34779.51,direct,20.593684,78.96288,55.378051,-3.435973
Graphite,IND,NPL,India,Nepal,380110|380120,Processed,33069.068,direct,20.593684,78.96288,28.394857,84.124008
Graphite,IND,BTN,India,Bhutan,380110|380120,Processed,32905.82,direct,20.593684,78.96288,27.514162,90.433601
Graphite,IND,PER,India,Peru,380110|380120,Processed,28978.16,direct,20.593684,78.96288,-9.189967,-75.015152
Graphite,IND,SLE,India,Sierra Leone,380110,Processed,27575.332,direct,20.593684,78.96288,8.460555,-11.779889
Graphite,IND,SDN,India,Sudan,380110,Processed,23909.258,direct,20.593684,78.96288,12.862807,30.217636
Graphite,IND,MEX,India,Mexico,380110,Processed,23604.55,direct,20.593684,78.96288,23.634501,-102.552784
Graphite,IND,PHL,India,Philippines,380110|380120,Processed,15867.204,direct,20.593684,78.96288,12.879721,121.774017
Graphite,IND,MAR,India,Morocco,380110,Processed,15202.954,direct,20.593684,78.96288,31.791702,-7.09262
Graphite,IND,SUR,India,Suriname,380110,Processed,14604.89,mirror,20.593684,78.96288,3.919305,-56.027783
Graphite,IND,AZE,India,Azerbaijan,380110,Processed,14078.138,direct,20.593684,78.96288,40.143105,47.576927
Graphite,IND,CMR,India,Cameroon,380110,Processed,14070.112,direct,20.593684,78.96288,3.848033,11.502075
Graphite,IND,JOR,India,Jordan,380110,Processed,12716.904,direct,20.593684,78.96288,30.585164,36.238414
Graphite,IND,LBN,India,Lebanon,380110,Processed,11088.76,direct,20.593684,78.96288,33.854721,35.862285
Graphite,IND,NIC,India,Nicaragua,380110,Processed,10920.896,direct,20.593684,78.96288,12.865416,-85.207229
Graphite,IND,CRI,India,Costa Rica,380110,Processed,9515.58,mirror,20.593684,78.96288,9.748917,-83.753428
Graphite,IND,GHA,India,Ghana,380110,Processed,9267.476,direct,20.593684,78.96288,7.946527,-1.023194
Graphite,IND,YEM,India,Yemen,380110,Processed,9050.312,direct,20.593684,78.96288,15.552727,48.516388
Graphite,IND,AGO,India,Angola,380110,Processed,7880.098,direct,20.593684,78.96288,-11.202692,17.873887
Graphite,IND,MOZ,India,Mozambique,380110,Processed,4885.638,direct,20.593684,78.96288,-18.665695,35.529562
Graphite,IND,PNG,India,Papua New Guinea,380110,Processed,4379.18,direct,20.593684,78.96288,-6.314993,143.95555
Graphite,IND,TZA,India,United Rep. of Tanzania,380110,Processed,4083.65,direct,20.593684,78.96288,-6.369028,34.888822
Graphite,IND,ISL,India,Iceland,380110,Processed,3532.972,mirror,20.593684,78.96288,64.963051,-19.020835
Graphite,IND,MMR,India,Myanmar,380110,Processed,3439.616,direct,20.593684,78.96288,21.913965,95.956223
Graphite,IND,MWI,India,Malawi,380110,Processed,1824.929,mirror,20.593684,78.96288,-13.254308,34.301525
Graphite,IND,NZL,India,New Zealand,380110,Processed,1652.839,mirror,20.593684,78.96288,-40.900557,174.885971
Graphite,IND,DOM,India,Dominican Rep.,380110,Processed,933.092,direct,20.593684,78.96288,18.735693,-70.162651
Graphite,IND,RUS,India,Russian Federation,380110|380120,Processed,642.1500000000001,direct,20.593684,78.96288,61.52401,105.318756
Graphite,IND,GMB,India,Gambia,380110,Processed,641.892,direct,20.593684,78.96288,13.443182,-15.310139
Graphite,IND,FJI,India,Fiji,380110,Processed,376.672,direct,20.593684,78.96288,-16.578193,179.414413
